county,state,date_local,PM2.5,O3,SO2,NO2,CO
Fulton,Georgia,2020-05-06,,0.03776050000000006,0.5916665000000009,11.079167000000002,0.3979169999999997
Fulton,Georgia,2020-05-07,,0.03474500000000002,0.685416500000001,15.595833000000017,0.43541700000000055
Fulton,Georgia,2020-05-08,,0.026337750000000028,0.6906249999999986,19.916666999999975,0.5812499999999989
Fulton,Georgia,2020-05-09,,0.037232250000000085,0.6760414999999983,10.270833000000017,0.40416650000000015
Fulton,Georgia,2020-05-10,,0.036047250000000086,0.7864584999999993,13.99523799999998,0.5
Fulton,Georgia,2020-05-11,,0.033444999999999954,0.6824677500000006,13.108332999999982,0.4083334999999998
Fulton,Georgia,2020-05-12,,0.03617824999999995,0.8568324999999997,20.17083299999996,0.5062500000000009
Fulton,Georgia,2020-05-13,,0.03382225000000005,0.7874999999999994,24.220832999999995,0.7166665000000011
Fulton,Georgia,2020-05-14,,0.035483999999999946,0.6604164999999983,20.262500000000028,0.6982955000000003
Fulton,Georgia,2020-05-15,,0.03259424999999995,0.6552085000000004,20.995832999999962,0.7270829999999993
Fulton,Georgia,2020-05-16,,0.02757100000000001,0.7270835000000004,14.866667000000005,0.7437500000000001
Fulton,Georgia,2020-05-17,,0.024980499999999985,0.6812499999999997,9.666666999999984,0.6682539999999995
Fulton,Georgia,2020-05-18,,0.021631499999999994,0.5662337500000006,15.633332999999995,0.7000000000000014
Fulton,Georgia,2020-05-19,,0.029656000000000016,0.6239585000000004,15.883332999999995,0.5666664999999985
Fulton,Georgia,2020-05-20,,0.01896549999999998,0.6020834999999992,12.895833000000021,0.5583329999999991
Fulton,Georgia,2020-05-21,,0.024750749999999967,0.6593749999999988,16.933332999999966,0.6916664999999983
Fulton,Georgia,2020-05-22,,0.027951750000000043,0.6958335000000001,14.216666999999989,0.6166665000000007
Fulton,Georgia,2020-05-23,,0.023846999999999965,0.6791665,10.645833000000017,0.6166665000000007
Fulton,Georgia,2020-05-24,,0.029001500000000013,0.7645835000000004,9.94761900000001,0.6634919999999997
Fulton,Georgia,2020-05-25,,0.024511749999999992,0.6535714999999986,8.837499999999984,0.5812499999999989
Fulton,Georgia,2020-05-26,,0.02360475000000003,0.6239585000000004,11.83333300000002,0.568750000000001
Fulton,Georgia,2020-05-27,,0.017665000000000028,0.6214285000000002,11.700000000000024,0.5708334999999992
Fulton,Georgia,2020-05-28,,0.01812649999999998,0.6791665,14.065000000000035,0.6736744999999992
Fulton,Georgia,2020-05-29,,0.018703499999999987,0.7677084999999989,15.320832999999995,0.6854165000000011
Fulton,Georgia,2020-05-30,,0.03506475000000006,0.8177084999999992,13.262500000000026,0.625
Fulton,Georgia,2020-05-31,,0.04113174999999994,0.7718749999999996,10.76190499999999,0.611904500000001
New Haven,Connecticut,2020-04-01,,,,,0.1999999999999997
Orange,California,2020-04-01,,,,,0.29999999999999954
St Louis,Missouri,2020-04-01,,,,,0.20000000000000007
Cuyahoga,Ohio,2020-04-01,6.5608333000000085,0.03578931249999996,0.0933333999999999,6.291666500000005,0.31994833333333295
Cuyahoga,Ohio,2020-04-02,7.11416659999999,0.031449062499999965,0.24874999999999975,8.3125,0.28972925000000027
Cuyahoga,Ohio,2020-04-03,3.6087500000000077,0.029749250000000015,0.49770829999999955,8.416666500000009,0.2907812499999999
Cuyahoga,Ohio,2020-04-04,8.363409100000009,0.027052499999999976,1.0491665999999997,11.625,0.4524272499999997
Cuyahoga,Ohio,2020-04-05,5.1066667000000034,0.02228006249999998,0.05791669999999993,4.041666499999997,0.28632275
Cuyahoga,Ohio,2020-04-06,8.806742400000003,0.020442749999999975,1.6631249,13.25,0.44220825000000014
Cuyahoga,Ohio,2020-04-07,13.402916600000017,0.031067624999999974,0.9270831999999989,15.395833499999988,0.45456250000000065
Cuyahoga,Ohio,2020-04-08,9.510217399999991,0.03764199999999997,0.8800000000000009,9.104166500000009,0.3533852499999997
Cuyahoga,Ohio,2020-04-09,6.654583399999994,0.04261006250000006,0.5545833999999993,4.145833500000002,0.29851024999999975
Cuyahoga,Ohio,2020-04-10,4.004166700000005,0.03906556249999998,0.2566667000000002,2.166667,0.12729150000000009
Cuyahoga,Ohio,2020-04-11,8.414583400000009,0.038869062500000016,0.9635415999999993,6.083333499999995,0.14520800000000017
Cuyahoga,Ohio,2020-04-12,10.063333400000001,0.04082400000000004,1.719999999999999,4.4166665,0.2595624999999999
Cuyahoga,Ohio,2020-04-13,4.954090900000001,0.03534687500000006,0.44895830000000025,4.416666999999999,0.1593330000000001
Cuyahoga,Ohio,2020-04-14,6.814999999999999,0.0382243125,0.6685416999999992,5.5625,0.15556250000000013
Cuyahoga,Ohio,2020-04-15,11.004166599999994,0.035476812499999975,0.2643748999999999,9.104166500000009,0.15102049999999975
Cuyahoga,Ohio,2020-04-16,10.882777833333318,0.03346679999999999,0.33583329999999995,9.3125,0.1387919999999999
Cuyahoga,Ohio,2020-04-17,11.515833300000017,0.030720000000000032,0.4129464,14.652174000000029,0.23429699999999978
Cuyahoga,Ohio,2020-04-18,10.164583300000002,0.04321241666666665,0.2922671500000003,4.534420500000005,0.13853250000000011
Cuyahoga,Ohio,2020-04-19,10.502916600000008,0.04021716666666671,0.36171069999999983,3.456521500000002,0.14947500000000002
Cuyahoga,Ohio,2020-04-20,4.561249999999997,0.040898666666666646,0.6418245500000002,6.4501814999999985,0.20276849999999988
Cuyahoga,Ohio,2020-04-21,4.453749999999995,0.04023200000000003,0.5398280000000001,2.608695500000002,0.11436600000000019
Cuyahoga,Ohio,2020-04-22,6.163749999999995,0.03524133333333332,0.42164770000000035,5.9541664999999995,0.12287900000000013
Cuyahoga,Ohio,2020-04-23,11.910905800000016,0.02401974999999996,0.7900971500000007,8.775361999999985,0.2278915000000001
Cuyahoga,Ohio,2020-04-24,13.199702357142876,0.031143812500000034,0.49091609999999986,9.073369500000009,0.19643149999999973
Cuyahoga,Ohio,2020-04-25,10.507083299999987,0.038224125000000005,0.43360244999999953,6.448369500000008,0.24048900000000015
Cuyahoga,Ohio,2020-04-26,5.160416700000001,0.036998812499999985,0.24562500000000032,2.4375,0.11105799999999993
Cuyahoga,Ohio,2020-04-27,4.8793981111111115,0.036278812499999986,0.46210535000000075,6.6295289999999945,0.1529640000000001
Cuyahoga,Ohio,2020-04-28,8.261071500000007,0.03821049999999997,0.37876035000000025,5.212450499999994,0.15042749999999994
Cuyahoga,Ohio,2020-04-29,8.562083400000004,0.04428756250000006,0.7319480499999999,5.622727499999997,0.13293900000000017
Cuyahoga,Ohio,2020-04-30,3.2694444444444453,0.031621375000000014,0.47576859999999943,6.083333499999995,0.16450749999999978
Cuyahoga,Ohio,2020-05-01,6.510416700000004,0.0295990625,0.20837344999999988,6.923913000000012,0.14188049999999994
Cuyahoga,Ohio,2020-05-02,10.905416700000009,0.04291843750000001,1.1347723,8.520531499999999,0.26073549999999956
Cuyahoga,Ohio,2020-05-03,9.352546277777787,0.045597750000000076,0.9885727500000012,7.6652174999999945,0.17895299999999995
Cuyahoga,Ohio,2020-05-04,3.011249999999997,0.030779625000000033,0.1428170000000001,4.1096014999999975,0.11814500000000011
Cuyahoga,Ohio,2020-05-05,3.659204499999994,0.037176062499999975,0.3425077499999996,4.324275,0.1628985000000001
Cuyahoga,Ohio,2020-05-06,3.960416666666669,0.033074062499999946,0.5594399000000003,6.333333499999995,0.1196890000000001
Cuyahoga,Ohio,2020-05-07,7.11496369999999,0.03458212500000001,0.9827407499999992,10.310688000000017,0.14942049999999987
Cuyahoga,Ohio,2020-05-08,3.6599999999999984,0.027808375,0.25852094999999986,3.9664855000000028,0.109826
Cuyahoga,Ohio,2020-05-09,3.5041666666666647,0.03258993750000004,0.4477963500000006,3.2137685000000062,0.11895300000000011
Cuyahoga,Ohio,2020-05-10,6.911666700000008,0.03566424999999997,0.5316174499999995,4.887681500000002,0.13443800000000003
Cuyahoga,Ohio,2020-05-11,4.511666600000006,0.02660624999999999,0.3645832999999997,4.980978499999994,0.11236949999999984
Cuyahoga,Ohio,2020-05-12,6.538194444444453,0.03364506250000002,0.44160965000000013,8.398551,0.14811199999999994
Cuyahoga,Ohio,2020-05-13,5.411249999999997,0.034157124999999976,0.37612289999999965,6.9291665000000044,0.20368200000000014
Cuyahoga,Ohio,2020-05-14,10.562083300000007,0.03526999999999999,1.2155913499999984,9.426630499999991,0.1880869999999999
Cuyahoga,Ohio,2020-05-15,9.69166664285716,0.03401068749999996,0.47279885000000016,6.447826000000006,0.1296305000000001
Cuyahoga,Ohio,2020-05-16,6.707499999999995,0.031241666666666633,0.43895584999999954,6.376086999999997,0.24840550000000017
Cuyahoga,Ohio,2020-05-17,8.608333399999996,0.027739500000000014,0.08404010000000009,4.070047999999993,0.19723150000000036
Cuyahoga,Ohio,2020-05-18,10.415603714285712,0.020086749999999993,-0.5853652500000001,6.833333499999993,0.4388176666666661
Cuyahoga,Ohio,2020-05-19,6.757499999999995,0.041888249999999974,0.33991231578947373,3.8125,0.378847333333333
Cuyahoga,Ohio,2020-05-20,4.812499999999999,0.04173781250000004,0.5984962105263159,2.7833334999999986,0.47666274999999936
Cuyahoga,Ohio,2020-05-21,6.594345214285722,0.037341000000000034,1.0362965789473702,5.627090000000005,0.4737407500000003
Cuyahoga,Ohio,2020-05-22,10.35583340000001,0.022943562500000014,0.3200075789473686,7.102302000000005,0.55718825
Cuyahoga,Ohio,2020-05-23,12.967083300000011,0.030126875000000053,0.5791096999999994,8.7,0.59365425
Cuyahoga,Ohio,2020-05-24,10.857475499999994,0.03967631250000001,0.8083039999999998,5.347825999999999,0.6262880000000002
Cuyahoga,Ohio,2020-05-25,12.955416699999999,0.03834699999999996,1.2870932499999992,5.130434999999997,0.7053207499999992
Cuyahoga,Ohio,2020-05-26,12.292361166666646,0.039521999999999995,3.5761193499999995,10.217391000000012,0.728920250000001
Cuyahoga,Ohio,2020-05-27,9.17411615151514,0.035387125000000005,1.9188717499999974,6.699999999999993,0.5100340000000001
Cuyahoga,Ohio,2020-05-28,7.067222222222213,0.027653624999999963,0.6245984999999998,7.285713999999997,0.4646845000000004
Cuyahoga,Ohio,2020-05-29,4.7052173999999996,0.03220356249999995,0.2854167000000001,5.75,0.45259374999999924
Cuyahoga,Ohio,2020-05-30,5.040277787878783,0.02931093750000002,0.3597995000000002,3.347825999999998,0.4294547500000005
Cuyahoga,Ohio,2020-05-31,2.491666666666666,0.030993999999999973,0.38066089473684184,2.304348000000002,0.4095815000000006
District of Columbia,District of Columbia,2020-04-01,,0.031965416666666815,0.3069444000000012,6.855303000000035,0.1994789999999986
District of Columbia,District of Columbia,2020-04-02,,0.04168833333333314,2.0196529999999977,4.3249997499999795,0.18845249999999886
District of Columbia,District of Columbia,2020-04-03,,0.038392999999999844,1.373055599999991,3.3427084999999823,0.16932299999999909
District of Columbia,District of Columbia,2020-04-04,,0.02809387499999989,1.1820137999999942,4.598674500000011,0.20211474999999982
District of Columbia,District of Columbia,2020-04-05,,0.0302435,1.1958331999999983,7.897159000000051,0.2586005
District of Columbia,District of Columbia,2020-04-06,,0.03562791666666663,0.3006247999999992,10.037670499999997,0.264875000000002
District of Columbia,District of Columbia,2020-04-07,,0.03303633333333343,1.1011027999999998,10.853966000000016,0.2922264999999992
District of Columbia,District of Columbia,2020-04-08,,0.03175449999999992,0.670972400000002,9.41249999999995,0.2550684999999992
District of Columbia,District of Columbia,2020-04-09,,0.03772974999999996,0.6188194000000041,8.641938499999961,0.25066650000000007
District of Columbia,District of Columbia,2020-04-10,,0.03717141666666648,0.4039583999999972,2.897619250000015,0.17794800000000055
District of Columbia,District of Columbia,2020-04-11,,0.030235249999999877,1.186110999999999,11.547916749999924,0.2830282500000007
District of Columbia,District of Columbia,2020-04-12,,0.03465875000000014,1.0941665999999954,10.330871250000046,0.325552250000001
District of Columbia,District of Columbia,2020-04-13,,0.03628033333333337,1.3181248000000054,3.381155499999984,0.17623950000000077
District of Columbia,District of Columbia,2020-04-14,,0.03866583333333311,1.0941665999999954,4.168229000000014,0.19449025000000078
District of Columbia,District of Columbia,2020-04-15,,0.039427916666666514,0.3196525999999987,5.691666749999981,0.20872899999999958
District of Columbia,District of Columbia,2020-04-16,,0.03411533333333344,0.4547915999999964,6.462026500000034,0.20878125000000086
District of Columbia,District of Columbia,2020-04-17,,0.03277558333333335,1.8575693999999916,16.691666499999954,0.36828425000000126
District of Columbia,District of Columbia,2020-04-18,,0.03132166666666677,0.40361099999999867,10.264583250000058,0.24653124999999904
District of Columbia,District of Columbia,2020-04-19,,0.028488166666666606,1.174861000000004,13.295000000000048,0.3568125000000004
District of Columbia,District of Columbia,2020-04-20,,0.03325524999999989,0.4890969999999995,12.259658999999951,0.2967377500000005
District of Columbia,District of Columbia,2020-04-21,,0.037530416666666525,1.0742030000000058,6.677840999999959,0.21651450000000094
District of Columbia,District of Columbia,2020-04-22,,0.04061549999999993,0.4398611999999985,3.594412749999975,0.18554149999999947
District of Columbia,District of Columbia,2020-04-23,,0.027065916666666523,0.28798620000000075,13.804166750000057,0.2830822500000012
District of Columbia,District of Columbia,2020-04-24,,0.025897500000000084,0.29166659999999933,7.643750250000012,0.20740649999999913
District of Columbia,District of Columbia,2020-04-25,,0.03295750000000015,1.3539584000000062,8.14393924999998,0.29881249999999815
District of Columbia,District of Columbia,2020-04-26,,0.029120500000000108,0.6994445999999993,4.625946999999997,0.2026107499999995
District of Columbia,District of Columbia,2020-04-27,,0.02732858333333342,0.4624306000000019,6.762499749999973,0.22377074999999996
District of Columbia,District of Columbia,2020-04-28,,0.023324500000000126,0.3033331999999985,14.521969750000054,0.36063550000000066
District of Columbia,District of Columbia,2020-04-29,,0.037608833333333494,0.6789583999999992,9.080208249999975,0.2588165000000004
District of Columbia,District of Columbia,2020-04-30,,0.037518750000000135,0.4243053999999979,6.17083350000002,0.21709374999999834
District of Columbia,District of Columbia,2020-05-01,1.870555533333342,0.03004133333333319,0.23715260000000127,5.007007749999976,0.19657300000000066
District of Columbia,District of Columbia,2020-05-02,4.338888933333325,0.038841500000000154,0.11298620000000084,4.040624999999998,0.2331950000000004
District of Columbia,District of Columbia,2020-05-03,8.77722220000001,0.03427399999999993,0.11347200000000071,5.655966000000021,0.26416675000000084
District of Columbia,District of Columbia,2020-05-04,2.8738888666666735,0.03601500000000012,1.4949305999999916,3.1805869999999774,0.16670824999999936
District of Columbia,District of Columbia,2020-05-05,3.306666733333348,0.031692833333333344,0.18940299999999916,6.629640249999977,0.2257065000000008
District of Columbia,District of Columbia,2020-05-06,3.7163491999999883,0.031190499999999982,0.9141665999999942,5.900000000000026,0.20892700000000097
District of Columbia,District of Columbia,2020-05-07,3.710000000000015,0.0397907499999999,0.883402799999999,6.412973499999966,0.23320824999999895
District of Columbia,District of Columbia,2020-05-08,4.701666666666663,0.03691641666666662,0.8666667999999961,7.921875,0.2497727500000002
District of Columbia,District of Columbia,2020-05-09,2.1788647333333286,0.030316916666666836,0.11097219999999974,3.547916750000011,0.17571875000000095
District of Columbia,District of Columbia,2020-05-10,3.7401514545454373,0.03582366666666672,0.7564584000000056,6.968750000000001,0.23966875000000043
District of Columbia,District of Columbia,2020-05-11,3.0602272727272744,0.03151141666666669,0.9816666000000024,5.386458250000017,0.18722925000000096
District of Columbia,District of Columbia,2020-05-12,2.976111133333345,0.03249533333333333,0.7031944000000009,4.659821250000029,0.17693725000000116
District of Columbia,District of Columbia,2020-05-13,6.575555533333318,0.03639500000000007,0.7017360000000026,12.421780499999944,0.310409500000001
District of Columbia,District of Columbia,2020-05-14,9.71000000000003,0.03211608333333337,0.867657799999996,12.466666499999977,0.33997899999999964
District of Columbia,District of Columbia,2020-05-15,10.4464141333333,0.04164624999999991,0.6078473999999978,6.421875250000033,0.4028227499999988
District of Columbia,District of Columbia,2020-05-16,6.040555600000011,0.0417806666666665,1.157083399999997,5.62259549999999,0.4157497500000024
District of Columbia,District of Columbia,2020-05-17,5.408888866666687,0.03587291666666672,0.3313890000000012,4.496685750000012,0.4124999999999979
District of Columbia,District of Columbia,2020-05-18,5.777222266666684,0.03483041666666682,1.0655556000000008,6.549478500000028,0.39368749999999886
District of Columbia,District of Columbia,2020-05-19,5.748019333333333,0.03912474999999978,1.1247222000000037,5.606723500000027,0.37600725000000057
District of Columbia,District of Columbia,2020-05-20,5.674747466666692,0.03408983333333337,0.8325896000000039,4.885226999999988,0.3235669999999982
District of Columbia,District of Columbia,2020-05-21,7.848397000000003,0.029967090909090985,0.8632637999999988,6.736458249999986,0.37354150000000147
District of Columbia,District of Columbia,2020-05-22,6.67222220000003,0.022325000000000112,0.6889583999999973,7.889299250000018,0.4041705000000026
District of Columbia,District of Columbia,2020-05-23,6.812222199999965,0.03152374999999989,0.7741666000000008,6.684375000000031,0.4037395000000003
District of Columbia,District of Columbia,2020-05-24,5.906111066666655,0.026727333333333488,1.2159027999999972,4.536079499999998,0.4157084999999974
District of Columbia,District of Columbia,2020-05-25,6.040555533333356,0.028484083333333528,0.586319599999998,5.479450499999988,0.42748600000000114
District of Columbia,District of Columbia,2020-05-26,7.858982727272681,0.02322850000000008,1.4880555999999965,8.165942000000038,0.5119257500000005
District of Columbia,District of Columbia,2020-05-27,5.4641665999999995,0.0231648333333334,0.48444460000000134,5.5638254999999655,0.40573949999999864
District of Columbia,District of Columbia,2020-05-28,5.810833300000011,0.018065499999999946,1.3977083999999993,3.8157197499999915,0.37283150000000054
District of Columbia,District of Columbia,2020-05-29,9.609166700000028,0.024397545454545328,1.3814583999999992,3.8441667500000083,0.39634374999999983
District of Columbia,District of Columbia,2020-05-30,5.262500000000028,0.043487624999999704,0.14604179999999953,3.2208333333333266,0.3311144999999985
District of Columbia,District of Columbia,2020-05-31,5.4082246000000245,0.036263249999999934,1.5002779999999938,1.9102780000000004,0.3073595000000001
Erie,New York,2020-04-01,,0.042458750000000094,0.1637498999999996,5.004166999999996,0.23673949999999985
Erie,New York,2020-04-02,,0.041476250000000076,0.4859723000000002,7.864583499999989,0.18934375000000034
Erie,New York,2020-04-03,3.800000000000006,0.029910500000000017,0.27026319999999965,8.404167000000019,0.1777464999999997
Erie,New York,2020-04-04,,0.021974249999999976,0.24534710000000004,8.954166500000007,0.1930937499999996
Erie,New York,2020-04-05,,0.02732249999999996,0.23277769999999984,7.195833500000005,0.23265649999999988
Erie,New York,2020-04-06,4.1666666666666705,0.026919749999999985,0.44501120000000044,12.372083500000002,0.23662500000000006
Erie,New York,2020-04-07,,0.038397750000000015,0.22940960000000024,12.606250000000019,0.2567574999999994
Erie,New York,2020-04-08,,0.03313724999999994,0.15756930000000008,7.243749999999989,0.24489575000000022
Erie,New York,2020-04-09,4.25,0.039682749999999975,0.06336790000000002,6.4262499999999925,0.20684375000000046
Erie,New York,2020-04-10,,0.036755250000000024,0.03497599999999993,3.052083000000003,0.13905199999999995
Erie,New York,2020-04-11,,0.03865875000000007,0.20586800000000008,5.4624999999999915,0.15411450000000027
Erie,New York,2020-04-12,7.100000000000011,0.04256325000000005,0.4864932000000002,9.693750000000016,0.2356039999999999
Erie,New York,2020-04-13,,0.03707675000000008,0.05031259999999992,3.135416499999998,0.18022900000000028
Erie,New York,2020-04-14,,0.04060925000000005,0.15878470000000003,3.2937499999999944,0.16905200000000026
Erie,New York,2020-04-15,5.733333333333338,0.03446449999999993,0.1901585000000003,7.104166500000009,0.17879175000000014
Erie,New York,2020-04-16,,0.033083749999999974,0.2988645000000003,8.325109999999997,0.1856337499999996
Erie,New York,2020-04-17,,0.03855250000000009,0.22111119999999965,7.6437499999999945,0.18238550000000017
Erie,New York,2020-04-18,8.200000000000008,0.04445724999999989,0.2694097999999995,5.341666499999989,0.17559349999999985
Erie,New York,2020-04-19,,0.03915300000000009,0.1540278999999996,4.2416665000000044,0.1686875000000003
Erie,New York,2020-04-20,,0.03910549999999992,1.4796180000000012,9.614583499999988,0.20031699999999988
Erie,New York,2020-04-21,2.900000000000004,0.03658275,0.12059020000000004,3.2416665000000027,0.1559167499999998
Erie,New York,2020-04-22,,0.03394725000000006,0.3549448999999996,5.185000000000001,0.14879900000000024
Erie,New York,2020-04-23,,0.03370775000000003,0.20749999999999968,8.539583500000012,0.2321874999999998
Erie,New York,2020-04-24,5.300000000000008,0.03603075000000008,0.13909720000000012,5.780702000000008,0.2242912500000002
Erie,New York,2020-04-25,,0.04022974999999996,0.14145839999999987,6.689582999999984,0.22909399999999994
Erie,New York,2020-04-26,,0.03841500000000006,0.01843759999999996,2.652083500000003,0.1711039999999998
Erie,New York,2020-04-27,4.066666666666664,0.0359775,0.1371883,8.621491500000012,0.23577075000000028
Erie,New York,2020-04-28,,0.03526300000000004,0.22225700000000012,10.125,0.24277100000000013
Erie,New York,2020-04-29,,0.0430815,0.021058000000000018,3.887499999999994,0.1912452499999999
Erie,New York,2020-04-30,2.4333333333333367,0.04213300000000008,-0.08458339999999986,5.835833499999992,0.18821750000000026
Erie,New York,2020-05-01,,0.029190499999999942,0.0958680999999999,4.677082999999996,0.17930199999999988
Erie,New York,2020-05-02,,0.03432849999999999,0.20774300000000032,8.40625,0.24560400000000013
Erie,New York,2020-05-03,8.45000000000001,0.042960499999999964,0.4765625,5.637499999999992,0.22353125000000035
Erie,New York,2020-05-04,,0.03217725000000003,0.03496509999999998,8.3830045,0.19486475000000028
Erie,New York,2020-05-05,,0.03674074999999998,0.10746539999999999,8.210417000000005,0.19764600000000018
Erie,New York,2020-05-06,3.600000000000001,0.03531124999999994,0.14020849999999999,5.9890349999999986,0.2039589999999999
Erie,New York,2020-05-07,,0.035081499999999995,0.14249489999999965,7.3083335000000025,0.18040625000000032
Erie,New York,2020-05-08,,0.029205500000000047,0.23843749999999989,5.487500000000008,0.20367724999999995
Erie,New York,2020-05-09,1.8666666666666658,0.03038100000000005,0.11770830000000018,2.9479164999999967,0.20258325
Erie,New York,2020-05-10,,0.038413999999999955,0.28572910000000024,5.899999999999991,0.19265599999999983
Erie,New York,2020-05-11,,0.023973250000000043,-0.00898679999999999,7.114912499999991,0.23279175000000024
Erie,New York,2020-05-12,3.800000000000006,0.02582749999999997,0.21495660000000036,7.225000000000011,0.21150649999999996
Erie,New York,2020-05-13,,0.029115500000000037,0.5932292999999993,14.085416499999992,0.27078524999999964
Erie,New York,2020-05-14,,0.036496749999999974,0.22746529999999998,12.447916500000014,0.26897925000000006
Erie,New York,2020-05-15,7.466666666666663,0.02964574999999997,-0.012604300000000006,8.910416499999998,0.21904174999999998
Erie,New York,2020-05-16,,0.030011500000000045,-0.1054165999999999,5.037500000000008,0.1992185000000003
Erie,New York,2020-05-17,,0.03263699999999996,-0.14024309999999984,2.8416670000000006,0.1972082499999996
Erie,New York,2020-05-18,4.899999999999993,0.03204574999999999,-0.2435793000000003,2.886775,0.1666535000000002
